,make,model,class,car,body,budget
426,Porsche,Macan,crossover 7,Porsche Macan,crossover,7
427,Porsche,911,coupe 7,Porsche 911,coupe,7
428,Porsche,718 Cayman,coupe 6,Porsche 718 Cayman,coupe,6
429,Porsche,911,cabrio 7,Porsche 911,cabrio,7
430,Porsche,718 Boxster,cabrio 7,Porsche 718 Boxster,cabrio,7
431,Porsche,718 Spyder,cabrio 7,Porsche 718 Spyder,cabrio,7
432,Porsche,Taycan,elektryczny 7,Porsche Taycan,elektryczny,7
433,Tesla,Model S,elektryczny 7,Tesla Model S,elektryczny,7
434,Tesla,Model 3,elektryczny 5,Tesla Model 3,elektryczny,5
435,Tesla,Model X,elektryczny 7,Tesla Model X,elektryczny,7
436,Tesla,Model Y,elektryczny 6,Tesla Model Y,elektryczny,6
437,Dacia,Spring,elektryczny 3,Dacia Spring,elektryczny,3
